symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"CVC/USD","Civic","US Dollar","Binance","binance","0.0354","2026-02-14","1.75","4.49","-26.10","-32.18","-71.08","-17.42","-62.30","59.39","97.68","-2.93","-7.66","11.84","46.57","true","false","425","1.000","true","true","simple","calendar","true","false"
"CVX/USD","Convex Finance","US Dollar","Binance","binance","1.9950","2026-02-14","2.15","11.83","-3.99","8.48","-17.12","16.26","-51.82","73.20","120.15","0.45","-8.44","9.80","35.30","true","false","425","1.000","true","true","simple","calendar","true","false"
"DASH/EUR","Dash","Euro","Kraken","kraken","32.5600","2026-02-14","4.06","4.26","-52.68","-49.13","23.23","-11.40","70.40","85.76","120.73","-6.97","-13.38","10.65","61.47","true","false","425","1.000","true","true","simple","calendar","true","false"
"DASH/USD","Dash","US Dollar","Binance","binance","38.5000","2026-02-14","3.94","4.48","-51.90","-48.26","37.75","-11.19","73.35","79.81","121.79","-6.73","-13.67","10.93","60.43","true","false","425","1.000","true","true","simple","calendar","true","false"
"DATA/USD","Streamr DATAcoin","US Dollar","Gate.io","gate.io","0.0009","2026-02-14","2.12","-48.76","-81.86","-86.44","-96.58","-84.62","-94.22","443.36","235.84","-6.83","-26.76","72.12","87.95","false","false","425","1.000","true","true","simple","calendar","true","false"
"DBC/USD","DeepBrain Chain","US Dollar","Gate.io","gate.io","0.0003","2026-02-14","6.72","40.25","20.39","8.23","-87.57","66.25","-50.10","255.07","165.80","1.70","-8.68","16.50","32.54","false","false","425","1.000","true","true","simple","calendar","true","false"
"DCR/USD","Decred","US Dollar","Binance","binance","24.2400","2026-02-14","-2.22","-0.86","6.88","-13.34","74.26","39.07","41.67","111.33","116.97","-0.14","-7.63","11.63","55.92","true","false","425","1.000","true","true","simple","calendar","true","false"
"DEGEN/USD","Degen","US Dollar","Bybit","bybit","0.0008","2026-02-14","9.54","7.63","-43.10","-42.49","-81.48","-27.44","-78.01","112.22","122.41","-4.38","-8.81","9.99","61.13","true","false","425","1.000","true","true","simple","calendar","true","false"
"DENT/USD","Dent","US Dollar","Binance","binance","0.0002","2026-02-14","2.72","-1.95","-34.06","-60.05","-84.81","-27.40","-80.72","61.75","89.59","-4.41","-7.45","8.47","62.94","true","false","425","1.000","true","true","simple","calendar","true","false"
"DGB/USD","DigiByte","US Dollar","OKEx","okx","0.0042","2026-02-14","1.48","-1.53","-33.68","-48.67","-52.15","-30.14","-54.45","35.96","90.23","-4.48","-7.22","8.36","52.38","true","false","425","1.000","true","true","simple","calendar","true","false"
"DOGE/EUR","Dogecoin","Euro","Binance","binance","0.0888","2026-02-14","8.97","6.50","-29.72","-34.52","-65.76","-17.66","-53.79","83.11","92.99","-3.55","-9.78","7.89","46.27","true","false","425","1.000","true","true","simple","calendar","true","false"
"DOGE/USD","Dogecoin","US Dollar","Binance","binance","0.1053","2026-02-14","8.94","7.21","-28.45","-33.20","-61.25","-16.97","-52.95","81.73","93.15","-3.27","-9.97","7.94","45.29","true","false","425","1.000","true","true","simple","calendar","true","false"
"DOGS/USDT","DOGS","US Dollar","Binance","binance","0.0000","2026-02-14","4.75","4.39","-35.08","-32.39","","-26.08","-76.94","58.87","101.54","-3.97","-9.36","8.53","49.61","true","false","266","1.000","true","false","simple","calendar","true","false"
"DOT/USD","Dotcoin","US Dollar","Binance","binance","1.4040","2026-02-14","5.56","2.33","-36.93","-50.12","-72.93","-29.76","-64.78","64.51","88.64","-5.18","-8.46","8.13","54.70","true","false","425","1.000","true","true","simple","calendar","true","false"
"DPY/USD","Delphy","US Dollar","Gate.io","gate.io","0.0001","2026-01-21","16.95","-78.84","-92.51","-97.50","-91.04","-89.40","-98.16","546.30","415.11","-4.90","-43.70","213.91","98.50","false","true","425","1.000","true","true","simple","calendar","true","false"
"DUSK/USD","Dusk Network","US Dollar","Binance","binance","0.1134","2026-02-14","3.18","25.86","72.34","119.77","-12.90","132.38","78.86","359.76","363.45","3.44","-21.29","15.65","63.31","true","false","425","1.000","true","true","simple","calendar","true","false"
"DYDX/USD","dYdX","US Dollar","Binance","binance","0.1127","2026-02-14","5.33","0.62","-45.77","-61.38","-86.06","-38.55","-83.02","76.59","97.97","-6.39","-9.24","9.16","65.18","true","false","425","1.000","true","true","simple","calendar","true","false"
