Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,roe,de_ratio,roic,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,roic_persist_6y,roe_persist_6y,roic_downside_6y,roe_downside_6y,years_roic_6y,net_margin,revenue_growth_3y,assets_to_equity
"TTE","TOTALENERGIES SE","","France","Euronext","EUR","12.22","0.51","5.29","14.27","3.56","6.35","1.50","0","5","4.96","11.85","6","7.33","-8.74","NaN"
"ALHAF","HAFFNER ENERGY S.A.","","France","Euronext","EUR","-59.95","0.38","-32.80","-42.43","15.37","-44.87","20.33","0","0","20.21","110.54","6","-2693.87","17.86","NaN"
"ALHG","LOUIS HACHETTE GROUP S.A.","","France","Euronext","EUR","3.88","1.83","3.00","3.27","1.29","1.71","1.34","0","0","2.07","10.48","5","1.16","213.45","NaN"
"ALHPI","HOPIUM S.A.","","France","Euronext","EUR","-46.19","-0.42","25.39","38.53","89.61","-16.60","36.41","1","3","70.47","99.04","6","6731.95","42241.59","NaN"
"VMX","VERIMATRIX SA","","France","Euronext","EUR","-107.58","0.68","-3.50","-42.51","56.36","-2.77","0.94","0","0","1.08","56.37","6","-168.97","-13.13","NaN"
"BIM","BIOMÃ©RIEUX SA","","France","Euronext","EUR","9.54","0.11","11.96","9.65","0.98","10.94","0.89","3","3","1.99","2.30","6","9.75","5.24","NaN"
"BIG","BIGBEN INTERACTIVE","","France","Euronext","EUR","-0.10","0.64","-0.09","3.63","3.44","1.19","1.49","0","0","2.10","3.14","6","-0.12","0.79","NaN"
"ALHYG","HYBRIGENICS SA","","France","Euronext","EUR","-679.52","-0.69","-117.77","-228.74","390.40","-40.90","66.58","0","0","80.56","476.11","4","-4910.49","61.51","NaN"
"ALGAE","FERMENTALG S.A.","","France","Euronext","EUR","-32.58","0.20","-24.07","-37.31","4.17","-23.57","1.79","0","0","2.79","5.31","6","-70.51","81.63","NaN"
"ALNLF","NEOLIFE S.A.","","France","Euronext","EUR","-2.40","0.12","-1.96","-1.21","10.85","-1.17","7.60","0","0","8.27","54.47","6","-0.90","-1.35","NaN"
"ALNOV","NOVACYT S.A.","","France","Euronext","EUR","-64.23","0.45","-34.30","-51.33","20.28","-16.98","19.74","1","1","17.37","31.97","6","-114.25","37.32","NaN"
"ALNOX","NOXXON PHARMA N.V.","","France","Euronext","EUR","8.78","-0.01","-742.33","5.40","4.27","-763.91","663.32","0","0","748.69","4.77","4","","","NaN"
"ALNRG","ENERGISME S.A.","","France","Euronext","EUR","142.67","0.25","-7.17","-145.36","329.66","-19.95","11.15","0","2","15.33","272.22","6","8892.26","-82.40","NaN"
"VIE","VEOLIA ENVIRONNEMENT SA","","France","Euronext","EUR","11.33","1.52","3.86","9.99","1.20","3.60","0.23","0","0","1.28","3.68","6","3.65","-1.06","NaN"
"ALNEV","NEOVACS S.A.","","France","Euronext","EUR","-98.39","0.01","-28.84","-41.20","49.79","-21.17","6.82","0","0","248.38","118.40","6","-8984.51","1115.65","NaN"
"ALO","ALSTOM SA","","France","Euronext","EUR","","0.33","","","","","","","","","","0","","","NaN"
"ALOPM","ONCODESIGN PRECISION MEDICINE","","France","Euronext","EUR","20.90","0.12","115.48","-175.27","239.47","-99.41","187.96","1","1","866.79","205.85","6","2098.32","-50.65","NaN"
"ALNXT","NEXTEDIA S.A.","","France","Euronext","EUR","3.93","0.14","3.28","4.23","1.88","4.28","1.08","0","0","0.96","3.05","6","2.08","-0.24","NaN"
"ALLOG","LOGIC INSTRUMENT S.A.","","France","Euronext","EUR","14.25","0.48","8.24","16.18","4.48","16.89","7.54","2","3","21.85","15.07","6","3.16","54.11","NaN"
"ALMAS","MASTRAD S.A.","","France","Euronext","EUR","-30.16","0.59","-22.22","-57.75","24.15","-24.02","5.76","0","1","9.28","47.15","6","-42.65","-48.32","NaN"
"ALMDT","MEDIAN TECHNOLOGIES S.A.","","France","Euronext","EUR","98.58","-0.62","-25.79","158.19","90.19","-50.07","24.54","0","6","24.28","79.87","6","-145.85","2.52","NaN"
"ICAD","ICADE SA","","France","Euronext","EUR","-3.05","1.11","2.51","-9.52","8.22","2.00","0.50","0","0","0.71","11.34","6","-9.39","-6.29","NaN"
"ALMEX","MEXEDIA S.P.A.","","France","Euronext","EUR","-47.99","0.23","-0.79","-30.22","32.16","-3.28","13.53","2","1","16.44","45.65","6","-13.54","-39.62","NaN"
"UBI","UBISOFT ENTERTAINMENT SA","","France","Euronext","EUR","-97.63","1.29","-27.67","-33.93","56.35","-8.53","17.19","0","0","17.72","56.02","6","-108.66","-22.12","NaN"
"ALMIB","AMOEBA S.A.S.","","France","Euronext","EUR","105.29","-2.28","-55.94","-159.48","447.00","-52.09","4.47","0","2","4.29","323.71","6","","","NaN"
"ALMKT","MAUNA KEA TECHNOLOGIES S.A.","","France","Euronext","EUR","-73.76","-2.51","-18.39","-1.26","64.54","-16.30","2.91","0","5","49.46","82.27","6","130.99","-11.41","NaN"
"ALMNG","MADVERTISE","","France","Euronext","EUR","-144.19","2.79","-5.45","851.70","1381.82","-22.20","14.57","0","3","8.33","276.29","4","-5.89","-0.97","NaN"
"SCR","SCOR SE","","France","Euronext","EUR","19.01","0.81","2.55","12.32","10.60","1.82","1.22","0","2","2.08","17.67","3","5.75","-3.33","NaN"
"XFAB","X-FAB SILICON FOUNDRIES SE","","France","Euronext","EUR","3.14","0.46","2.94","9.09","8.18","4.98","3.63","0","1","6.44","3.04","6","3.46","-2.04","NaN"
"EAPI","EUROAPI S.A.S.U.","","France","Euronext","EUR","-23.84","0.08","0.11","-18.71","5.09","-0.07","0.43","0","0","0.50","11.91","6","-24.77","-8.52","NaN"
"DSY","DASSAULT SYSTÃ¨MES SE","","France","Euronext","EUR","13.29","0.36","9.27","13.76","0.44","9.01","0.34","0","5","2.13","2.43","6","19.05","2.36","NaN"
"ENGI","ENGIE SA","","France","Euronext","EUR","11.54","1.34","4.33","10.72","2.67","4.32","0.46","0","1","0.95","8.05","6","6.60","-6.65","NaN"
"FRVIA","FORVIA SE","","France","Euronext","EUR","-41.42","2.73","4.10","-11.98","25.69","3.23","0.94","0","0","0.91","22.66","6","-9.39","-11.49","NaN"
"DIM","SARTORIUS STEDIM BIOTECH S.A.","","France","Euronext","EUR","6.53","0.63","5.15","7.96","3.57","5.22","0.83","3","4","4.95","10.07","6","8.96","3.40","NaN"
"FR","VALEO","","France","Euronext","EUR","5.94","1.61","3.10","5.97","0.71","3.27","0.26","0","0","2.68","18.83","6","1.22","-2.62","NaN"
"ENX","EURONEXT N.V.","","France","Euronext","EUR","15.11","0.72","0.22","14.31","0.99","0.24","0.02","1","5","0.04","2.16","6","37.96","11.08","NaN"
"SAN","SANOFI SA","","France","Euronext","EUR","10.50","0.28","6.98","8.38","1.83","7.05","0.18","0","1","0.25","2.06","6","16.81","0.29","NaN"
